0,1,2,3,4,5,6,8,9
แม่สาย,แพร่,10.5,7.56 (72%),6.16 (68%),,0.1,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยบะอีแตน,นครราชสีมา,1.8,1.3 (72%),0.99 (66%),0,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยด่านไอ,ศรีสะเกษ,8.03,5.77 (72%),5.07 (68%),0.45,0.14,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยเสนง,สุรินทร์,21.962,15.79 (72%),14.97 (71%),0.21,0.2,27/08/2025,แหล่งน้ำขนาดกลาง
คลองส้มป่อย,สระแก้ว,1.8,1.29 (72%),1.19 (70%),0,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยแห้ว อ.เมือง,เลย,2.73,1.95 (71%),1.76 (69%),0.33,,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ทะลบหลวง,เชียงใหม่,15.3,10.93 (71%),8.63 (66%),0.09,0.03,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยเปลวเงือก อ.โพนพิสัย,หนองคาย,2.75,1.96 (71%),1.84 (70%),0.2,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยชัน,สระแก้ว,4,2.85 (71%),1.99 (63%),0,0.01,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยแม่สัน,ลำปาง,3.525,2.51 (71%),2.47 (71%),0.06,0.06,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยโพธิ์,กาฬสินธุ์,2.44,1.74 (71%),1.51 (68%),0.21,0.22,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยจระเข้มาก,บุรีรัมย์,26.02,18.52 (71%),16.91 (69%),0.05,0.01,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยก้านเหลือง,สกลนคร,7.408,5.27 (71%),4.55 (62%),0.31,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยน้ำสวย อ.นาด้วง,เลย,3.3,2.34 (71%),1.39 (59%),0.28,0.1,27/08/2025,แหล่งน้ำขนาดกลาง
มาบฟักทอง 1,ชลบุรี,1.23,0.87 (70%),0.67 (65%),,0,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยวังใหญ่,อุบลราชธานี,8,5.63 (70%),4.83 (67%),0.01,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยจันลา,อุบลราชธานี,16.9,11.88 (70%),11.28 (69%),0.01,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยโป่ง อ.พังโคน,สกลนคร,1.63,1.15 (70%),0.32 (25%),0,0,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยส้มโฮง,นครพนม,3.12,2.19 (70%),2.17 (70%),,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยพลาญเสือ(ห้วยผึ้ง),อุบลราชธานี,33.5,23.47 (70%),22.35 (69%),,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยโอตาลัต,ศรีสะเกษ,3.8,2.66 (70%),2.21 (66%),,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยขาหน้า,มุกดาหาร,1.7,1.19 (70%),0.82 (69%),,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยเคลิ้ม อ.เมือง,สกลนคร,1.5,1.05 (70%),0.94 (68%),,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยแม่งอน,ลำปาง,1.28,0.9 (70%),0.78 (67%),0.04,0.15,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยหินขาว,สระบุรี,1.1,0.77 (70%),0.67 (67%),0,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยทราย อ.น้ำโสม,อุดรธานี,2.288,1.59 (69%),1.34 (66%),,0.05,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยลำพอก,สุรินทร์,11.2,10.08 (69%),9.43 (89%),0.2,0.01,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยมะโน,กาฬสินธุ์,5.815,4.01 (69%),3.41 (65%),0.12,0.07,27/08/2025,แหล่งน้ำขนาดกลาง
อ่างแม่ไพร,ลำปาง,3.2,2.2 (69%),2.07 (68%),0.05,0.03,27/08/2025,แหล่งน้ำขนาดกลาง
อ่างฯ ห้วยตะคองใหญ่ อ.บ้านผือ,อุดรธานี,0,5.78 (69%),5.48 (--%),0.02,0.1,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยกะเลงเวก,สุรินทร์,3.4,2.33 (68%),1.93 (64%),0,,27/08/2025,แหล่งน้ำขนาดกลาง
อำปึล,สุรินทร์,27.675,18.86 (68%),17.43 (66%),0.11,0.01,27/08/2025,แหล่งน้ำขนาดกลาง
แม่เมย,ลำพูน,3.6,2.45 (68%),2.43 (73%),0.03,0.03,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยเรือ อ.เมือง,ร้อยเอ็ด,2.9,1.97 (68%),1.82 (66%),,,27/08/2025,แหล่งน้ำขนาดกลาง
บางวาด,ภูเก็ต,10.2,6.91 (68%),6.64 (67%),0.08,0.02,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยหินชะแนนใหญ่ อ.กุสุมาลย์,สกลนคร,12.5,8.47 (68%),8.29 (67%),,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยไร่2,มุกดาหาร,2.68,1.81 (68%),1.51 (64%),0.09,0.03,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยจุมจัง,ร้อยเอ็ด,7.381,4.99 (68%),4.32 (64%),1.01,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยแข้ อ.ภูพาน,กาฬสินธุ์,3.8,2.56 (67%),2.34 (65%),,,27/08/2025,แหล่งน้ำขนาดกลาง
อ่างฯ คลองกะทะ,ภูเก็ต,0,2.79 (67%),2.63 (--%),0.02,0.02,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยสำราญ,ศรีสะเกษ,12.35,8.32 (67%),7.02 (64%),,,27/08/2025,แหล่งน้ำขนาดกลาง
หนองกก,นครราชสีมา,2.967,2 (67%),1.82 (65%),0.02,,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ล้อหัก,ตาก,1.336,0.89 (67%),0.85 (66%),0,0,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยสังเคียบ,กาฬสินธุ์,7.5,5.02 (67%),4.49 (64%),0.59,0.07,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยอ่าง อ.เมือง,สกลนคร,0,1 (67%),0.88 (--%),,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยน้ำบอง,หนองบัวลำภู,20.8,13.9 (67%),11.72 (63%),0.23,0.17,27/08/2025,แหล่งน้ำขนาดกลาง
